2013-08-02T15:10:53.439500, touch, yvonne, 466.0, 302.5, 12.09338665008545
2013-08-02T15:10:53.449141, touch, yvonne, 466.0, 320.5, 18.0
2013-08-02T15:10:53.464309, touch, yvonne, 463.5, 336.5, 16.194135665893555
2013-08-02T15:10:53.485561, touch, yvonne, 455.0, 353.5, 19.00657844543457
2013-08-02T15:10:53.498817, touch, yvonne, 441.5, 372.0, 22.90196418762207
2013-08-02T15:10:53.516212, touch, yvonne, 427.5, 386.0, 19.79899024963379
2013-08-02T15:10:53.536581, touch, yvonne, 411.0, 398.5, 20.700241088867188
2013-08-02T15:10:53.563155, touch, yvonne, 396.0, 407.5, 17.492855072021484
2013-08-02T15:10:53.566536, touch, yvonne, 379.0, 414.5, 18.384777069091797
2013-08-02T15:10:53.584041, touch, yvonne, 361.5, 420.0, 18.343936920166016
2013-08-02T15:10:53.602030, touch, yvonne, 344.5, 422.5, 17.18284034729004
2013-08-02T15:10:53.616704, touch, yvonne, 331.0, 424.5, 13.647343635559082
2013-08-02T15:10:53.632586, touch, yvonne, 314.0, 424.5, 17.0
2013-08-02T15:10:53.652445, touch, yvonne, 299.0, 422.5, 15.132745742797852
2013-08-02T15:10:53.674313, touch, yvonne, 286.0, 417.5, 13.928388595581055
2013-08-02T15:10:53.682089, touch, yvonne, 277.5, 412.5, 9.861541748046875
2013-08-02T15:10:53.700387, touch, yvonne, 270.0, 404.0, 11.335783958435059
2013-08-02T15:10:53.721314, touch, yvonne, 266.0, 395.5, 9.394146919250488
2013-08-02T15:10:53.740234, touch, yvonne, 263.0, 386.0, 9.96242904663086
2013-08-02T15:10:53.750631, touch, yvonne, 262.5, 376.0, 10.012492179870605
2013-08-02T15:10:53.769074, touch, yvonne, 262.5, 363.0, 13.0
2013-08-02T15:10:53.788726, touch, yvonne, 269.0, 349.5, 14.98332405090332
2013-08-02T15:10:53.804550, touch, yvonne, 276.5, 338.0, 13.729530334472656
2013-08-02T15:10:53.817506, touch, yvonne, 286.5, 328.5, 13.79311466217041
2013-08-02T15:10:53.839480, touch, yvonne, 296.5, 320.0, 13.124404907226562
2013-08-02T15:10:53.848827, touch, yvonne, 307.0, 315.0, 11.629703521728516
2013-08-02T15:10:53.871182, touch, yvonne, 320.0, 311.0, 13.601470947265625
2013-08-02T15:10:53.884106, touch, yvonne, 332.5, 309.0, 12.658988952636719
2013-08-02T15:10:53.906771, touch, yvonne, 345.0, 309.0, 12.5
2013-08-02T15:10:53.917258, touch, yvonne, 357.5, 309.0, 12.5
2013-08-02T15:10:53.930395, touch, yvonne, 369.0, 310.0, 11.54339599609375
2013-08-02T15:10:53.953838, touch, yvonne, 378.0, 313.5, 9.656603813171387
2013-08-02T15:10:53.973744, touch, yvonne, 384.5, 317.5, 7.632168769836426
2013-08-02T15:10:53.982709, touch, yvonne, 391.0, 323.0, 8.514693260192871
2013-08-02T15:10:53.998571, touch, yvonne, 396.5, 330.0, 8.902246475219727
2013-08-02T15:10:54.019085, touch, yvonne, 400.5, 337.0, 8.062257766723633
